<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.09.08	955.550	965.860	933.320	933.820	6290	6290	1130
2017.09.11	929.540	953.920	929.340	935.000	6405	6405	1090
2017.09.12	935.120	957.800	932.510	954.430	6771	6771	270
2017.09.13	954.370	954.370	935.420	938.500	6250	6250	1160
2017.09.14	939.160	943.670	916.830	925.680	8440	8440	580
2017.09.15	925.120	930.510	916.820	922.730	5938	5936	990
2017.09.18	921.210	939.010	920.600	935.530	8199	8199	770
2017.09.19	935.470	936.750	905.870	909.440	6691	6691	1080
2017.09.20	909.140	916.260	901.910	915.200	9124	9124	1060
2017.09.21	915.330	920.370	906.440	913.640	7752	7748	1100
2017.09.22	913.520	924.080	908.530	921.350	5476	5476	950
2017.09.25	919.230	926.400	909.170	913.450	9177	9177	1000
2017.09.26	913.360	919.500	909.570	917.150	7077	7077	950
2017.09.27	916.540	934.610	910.730	930.110	9133	9133	770
2017.09.28	930.170	939.010	922.650	932.820	9018	9018	330
2017.09.29	932.690	939.780	929.260	934.050	7525	7525	1040
2017.10.02	935.310	939.480	908.560	909.760	7575	7575	1150
2017.10.03	909.760	921.370	906.390	916.900	5555	5555	1170
2017.10.04	916.970	926.600	915.910	924.800	5859	5859	860
2017.10.05	924.970	942.570	921.700	942.300	4226	4226	1000
2017.10.06	942.300	945.210	918.150	921.330	7512	7512	1650
2017.10.09	918.110	930.670	915.770	928.540	5438	5435	1610
2017.10.10	928.600	940.470	927.830	933.470	6033	6033	760
2017.10.11	933.460	961.460	929.460	960.070	6155	6155	1390
2017.10.12	959.840	985.830	954.130	971.490	6663	6663	1360
2017.10.13	971.460	996.480	969.890	988.250	5735	5734	1730
2017.10.16	984.670	1009.300	970.280	974.680	9024	9024	140
2017.10.17	974.710	991.830	971.820	981.950	7541	7541	1020
2017.10.18	982.080	990.400	954.910	957.760	8875	8875	160
2017.10.19	957.890	967.490	948.770	960.220	8165	8165	260
2017.10.20	960.370	979.530	957.720	975.370	7040	7040	180
2017.10.23	973.670	974.420	953.760	956.270	7156	7156	160
2017.10.24	957.220	968.170	954.270	965.330	7867	7867	140
2017.10.25	965.400	972.360	953.460	960.410	6529	6529	1100
2017.10.26	960.430	974.400	960.070	970.990	8688	8688	870
2017.10.27	970.880	972.090	961.480	970.740	11645	11645	180
2017.10.30	966.920	975.710	961.670	965.390	4535	4535	200
2017.10.31	965.440	984.530	963.120	983.030	5698	5698	1110
2017.11.01	982.890	1005.980	980.670	1003.590	7323	7323	1000
2017.11.02	1003.760	1006.350	989.690	997.270	4839	4839	140
2017.11.03	997.280	1002.620	990.520	1000.730	6577	6577	650
2017.11.06	999.270	1006.480	993.430	1000.850	5051	5051	750
2017.11.07	1001.010	1002.650	993.930	996.740	6722	6722	140
2017.11.08	996.580	1019.520	994.670	1016.310	6144	6144	440
2017.11.09	1014.620	1026.670	1005.650	1011.620	8655	8655	850
2017.11.10	1011.690	1013.280	993.170	994.200	6035	6035	140
2017.11.13	995.420	1003.520	989.500	992.390	6055	6055	280
2017.11.14	992.420	998.440	976.830	987.720	8899	8899	210
2017.11.15	987.540	991.320	975.610	986.220	8428	8427	890
2017.11.16	985.520	991.130	982.150	988.560	5420	5420	1100
2017.11.17	989.240	999.630	987.470	995.460	6850	6850	140
2017.11.20	993.070	1001.280	987.060	990.270	9194	0	140
2017.11.21	990.970	1003.330	987.650	1001.120	8333	0	140
2017.11.22	1001.120	1007.860	998.720	1005.760	8304	0	140
2017.11.23	1004.920	1014.090	1000.610	1012.270	2619	0	680
2017.11.24	1011.770	1012.730	995.830	996.590	3445	0	340
2017.11.27	997.220	1006.670	992.560	1005.380	4810	0	830
2017.11.28	1004.520	1030.590	1000.760	1029.880	8458	0	140
2017.11.29	1028.170	1029.250	1012.480	1015.620	8818	0	140
2017.11.30	1013.370	1022.950	1006.660	1010.370	7702	0	560
2017.12.01	1008.020	1024.680	1008.020	1021.360	7158	0	1020
2017.12.04	1018.870	1023.690	992.840	993.760	5998	0	1370
2017.12.05	993.270	1001.520	980.830	984.720	8037	0	1590
2017.12.06	983.320	997.820	982.590	996.260	7362	0	1080
2017.12.07	994.820	1020.430	992.790	1014.930	6097	0	900
2017.12.08	1013.970	1018.040	999.370	1007.340	5925	0	290
2017.12.11	1006.620	1014.530	1002.230	1010.780	5112	0	1230
2017.12.12	1008.270	1014.300	1003.340	1014.100	5818	0	140
2017.12.13	1012.770	1018.570	1007.890	1018.200	5986	0	680
2017.12.14	1015.870	1038.150	1004.810	1036.220	6901	0	860
2017.12.15	1033.270	1037.070	1020.700	1024.610	6549	0	1060
2017.12.18	1024.330	1027.860	1013.780	1019.320	7727	0	180
2017.12.19	1016.960	1026.330	1016.380	1024.520	4850	0	490
2017.12.20	1022.570	1035.880	1021.640	1027.330	5365	0	140
2017.12.21	1026.620	1039.260	1025.470	1038.540	4167	0	590
2017.12.22	1035.510	1042.940	1029.980	1037.820	4440	0	280
2017.12.26	1035.460	1053.170	1035.420	1051.470	2486	0	1510
2017.12.27	1050.870	1067.930	1049.870	1062.780	4729	0	1010
2017.12.28	1059.840	1071.140	1054.630	1066.610	3192	0	1590
2017.12.29	1061.980	1069.040	1053.750	1061.110	5827	0	760
2018.01.02	1060.120	1097.280	1059.520	1092.680	5433	0	1430
2018.01.03	1092.070	1094.470	1081.180	1084.040	5295	0	1070
2018.01.04	1084.070	1107.830	1080.220	1097.410	7951	0	140
2018.01.05	1095.590	1101.730	1086.410	1092.580	5833	0	550
2018.01.08	1092.070	1102.520	1089.410	1102.350	4624	0	830
2018.01.09	1098.470	1113.090	1098.170	1101.870	5596	0	610
2018.01.10	1100.120	1104.560	1082.260	1085.250	6333	0	550
2018.01.11	1083.010	1091.740	1077.230	1085.660	5096	0	860
2018.01.12	1083.760	1129.050	1083.480	1122.110	7797	0	570
2018.01.15	1123.670	1138.120	1118.900	1130.620	3544	0	1010
2018.01.16	1127.170	1132.470	1089.480	1094.690	8279	0	140
2018.01.17	1092.940	1120.370	1092.570	1116.890	7371	0	840
2018.01.18	1114.570	1118.370	1098.910	1101.220	7544	0	150
2018.01.19	1099.320	1116.530	1099.320	1106.280	6032	0	950
2018.01.22	1103.520	1109.920	1085.040	1099.310	6383	0	630
2018.01.23	1095.670	1101.830	1087.760	1093.850	6050	0	710
2018.01.24	1092.640	1114.290	1091.570	1112.080	7505	0	980
2018.01.25	1109.770	1114.260	1092.200	1093.020	7200	0	1150
2018.01.26	1093.770	1100.920	1082.380	1090.780	6611	0	860
2018.01.29	1092.410	1092.850	1082.360	1088.710	5122	0	140
2018.01.30	1085.820	1089.340	1049.660	1056.310	7384	0	1250
2018.01.31	1054.470	1062.630	1024.550	1030.530	7795	0	850
2018.02.01	1029.270	1040.470	1014.720	1037.920	6532	0	1110
2018.02.02	1038.220	1053.610	1035.880	1045.930	5743	0	1390
2018.02.05	1042.170	1047.270	1026.960	1030.150	6878	0	140
2018.02.06	1027.280	1027.830	1001.670	1011.800	8498	0	1210
2018.02.07	1008.620	1013.540	981.200	986.920	7926	0	1370
2018.02.08	986.170	987.200	959.740	962.710	8875	0	1290
2018.02.09	960.370	980.560	958.200	978.190	11098	0	1230
2018.02.12	975.420	990.310	975.420	983.990	7348	0	1440
2018.02.13	981.370	994.830	981.370	985.610	6032	0	330
2018.02.14	983.270	1005.180	982.280	1002.080	7858	0	1000
2018.02.15	1000.420	1021.510	1000.270	1017.840	5714	0	1290
2018.02.16	1015.620	1047.210	1015.270	1044.690	5657	0	1330
2018.02.19	1043.880	1050.220	1031.530	1032.270	2628	0	1480
2018.02.20	1031.500	1043.300	1026.750	1033.520	6163	0	1330
2018.02.21	1029.420	1034.370	1019.110	1023.880	6017	0	1270
2018.02.22	1020.810	1040.240	1018.690	1039.360	4508	0	1140
2018.02.23	1038.570	1048.780	1036.110	1048.270	3362	0	1320
2018.02.26	1045.220	1067.080	1045.220	1060.070	5023	0	1350
2018.02.27	1057.070	1063.070	1035.590	1037.610	6619	0	1500
2018.02.28	1036.970	1049.120	1036.570	1043.550	6362	0	340
2018.03.01	1042.100	1045.230	976.650	990.150	9264	0	1050
2018.03.02	987.820	999.430	977.730	993.600	7384	0	1500
2018.03.05	993.470	1000.120	978.970	985.240	5484	0	1500
2018.03.06	983.570	994.240	975.420	986.990	6962	0	1500
2018.03.07	984.190	987.320	964.130	968.230	7203	0	800
2018.03.08	968.420	989.430	965.180	977.260	7896	0	590
2018.03.09	976.720	996.570	970.350	996.500	7141	0	1400
2018.03.12	996.620	997.020	971.930	976.870	5403	0	480
2018.03.13	977.420	998.250	974.770	989.740	6638	0	620
2018.03.14	987.920	1007.280	987.370	989.200	5693	0	1240
2018.03.15	988.670	995.040	980.600	984.850	4679	0	500
2018.03.16	985.670	998.150	982.320	996.090	5073	0	710
2018.03.19	994.320	999.080	986.720	988.630	5634	0	1560
2018.03.20	987.420	993.930	977.280	982.490	5346	0	510
2018.03.21	978.740	994.860	978.310	989.870	7397	0	890
2018.03.22	986.730	995.540	973.320	985.220	6127	0	1440
2018.03.23	982.270	989.250	973.950	974.280	5905	0	960
2018.03.26	973.570	986.340	971.480	976.640	6238	0	180
2018.03.27	972.720	984.180	971.660	972.230	6285	0	570
2018.03.28	971.070	978.000	964.380	967.650	6216	0	1370
2018.03.29	967.020	971.880	940.590	952.460	8321	0	790
2018.04.02	949.070	957.170	930.380	936.640	6761	0	840
2018.04.03	935.020	944.550	930.240	932.550	6633	0	380
2018.04.04	931.220	933.270	915.870	927.990	6537	0	410
2018.04.05	925.990	931.520	902.180	907.360	6905	0	550
2018.04.06	906.070	916.800	896.720	902.510	7169	0	140
2018.04.09	901.770	938.730	901.770	929.420	7322	0	1090
2018.04.10	930.070	960.810	928.970	950.570	7283	0	1600
2018.04.11	949.070	971.790	948.450	964.330	7042	0	1020
2018.04.12	962.920	970.110	943.590	965.250	6708	0	1170
2018.04.13	964.470	990.980	962.750	985.830	7660	0	830
2018.04.16	987.020	1011.780	983.820	1000.340	7459	0	1500
2018.04.17	999.670	1015.120	984.250	1012.980	7233	0	1500
2018.04.18	1009.920	1045.730	1008.570	1035.840	8086	0	1500
2018.04.19	1032.720	1056.850	1022.670	1032.470	8546	0	1280
2018.04.20	1029.460	1040.790	1014.130	1027.930	6540	0	1330
2018.04.23	1028.320	1035.900	973.220	980.080	9329	0	950
2018.04.24	980.470	987.110	963.140	973.820	10427	0	1310
2018.04.25	973.020	976.770	958.320	976.770	8949	0	770
2018.04.26	976.020	994.080	967.350	984.900	6769	0	1230
2018.04.27	982.720	988.710	968.450	968.590	5299	0	1120
2018.04.30	965.440	975.360	956.930	962.870	7402	0	960
2018.05.01	963.620	965.370	940.780	943.870	5909	0	1230
2018.05.02	944.470	973.520	943.820	959.200	8625	0	1500
2018.05.03	959.220	975.600	959.220	963.220	7752	0	430
2018.05.04	962.120	968.230	958.860	968.230	5973	0	1460
2018.05.07	965.190	980.490	965.190	970.270	4921	0	1850
2018.05.08	970.470	978.390	966.320	970.560	6150	0	1040
2018.05.09	969.970	983.430	969.170	976.310	4393	0	1500
2018.05.10	975.370	1002.460	974.670	996.980	5470	0	410
2018.05.11	998.270	1008.430	986.930	989.350	5735	0	1680
2018.05.14	989.190	1002.600	986.670	996.150	4661	0	1500
2018.05.15	994.470	997.170	959.320	981.690	7023	0	180
2018.05.16	981.070	989.330	978.670	986.980	5129	0	1000
2018.05.17	984.050	989.830	976.320	978.430	4563	0	1520
2018.05.18	975.550	982.930	960.770	966.880	4911	0	540
2018.05.21	968.970	996.810	966.230	992.920	5509	0	850
2018.05.22	990.150	1006.380	987.020	992.160	6947	0	450
2018.05.23	991.470	993.590	966.430	978.390	7937	0	1000
2018.05.24	978.870	983.730	968.110	974.060	6825	0	650
2018.05.25	973.070	983.830	969.040	979.150	6031	0	540
2018.05.28	977.470	984.700	977.270	984.240	2120	0	1450
2018.05.29	981.370	990.730	975.020	977.050	5938	0	140
2018.05.30	974.870	986.800	974.370	986.600	6775	0	260
2018.05.31	984.570	991.030	982.050	987.290	4767	0	1460
2018.06.01	985.740	1004.930	983.640	1001.080	5075	0	1380
2018.06.04	997.970	1011.330	993.890	993.890	5458	0	1060
2018.06.05	992.810	996.570	978.630	993.070	5631	0	870
2018.06.06	992.470	1025.030	988.120	1017.550	6661	0	1010
2018.06.07	1018.170	1030.330	1010.630	1012.310	6418	0	540
2018.06.08	1009.440	1019.970	1005.930	1011.190	4736	0	1050
2018.06.11	1017.270	1025.270	1009.320	1021.310	4453	0	960
2018.06.12	1022.070	1023.130	1017.070	1019.080	4104	0	2020
2018.06.13	1019.090	1021.300	995.420	1011.120	5222	0	1270
2018.06.14	1009.670	1017.200	1001.740	1007.950	4532	0	2130
2018.06.15	1007.770	1010.470	985.610	988.840	5550	0	980
2018.06.18	982.370	999.000	979.230	988.450	4722	0	870
2018.06.19	988.770	991.370	964.530	967.660	5327	0	1740
2018.06.20	966.540	977.700	961.440	963.050	5027	0	1610
2018.06.21	960.420	967.420	948.800	949.300	5940	0	1890
